amount,id2,id,hanke_name,teema,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Kohderyhma2,Lookup_Hanketyyppi,Lookup_Kieli,lkm,Lookup_Vaikutusalue,AVI-aluealkup
45000,831,1220,Uusi kirjastokonsepti Tampereen yliopistolliseen sairaalaan ,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Tampereen kaupunginkirjasto - Pirkanmaan maakuntakirjasto,Länsi- ja Sisä-Suomi,Tampere,hankkeet.kirjastot.fi/node/405,2012,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,maakunta	,Pohjanmaan
80000,341,491,"Kirjastosta juuret elämään, jatkohanke",Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Turun kaupunginkirjasto,Lounais-Suomi,Turku,hankkeet.kirjastot.fi/node/1940,2014,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,ylimaakunnallinen	,Lounais-Suomen
85000,340,490,Kirjastosta juuret elämään,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Turun kaupunginkirjasto,Lounais-Suomi,Turku,hankkeet.kirjastot.fi/node/288,2012,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,ylimaakunnallinen	,Varsinais-Suomen
15000,2,3,Verkkoa ja virikkeitä varttuneille,Mediakasvatus,Mediakasvatus,Varsinais-Suomi,Pöytyän kirjasto,Lounais-Suomi,Pöytyä,hankkeet.kirjastot.fi/node/1169,2013,"Erityisryhmät, Ikääntyneet","Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
35000,268,381,Kirjasto  tervehdyttää,Palvelujen kehittäminen,Palvelujen kehittäminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/730,2012,"Erityisryhmät, Ikääntyneet","Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
2500,147,210,Historia keskuudessamme - yksityistä ja yhteistä elämää,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Akaan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Akaa,hankkeet.kirjastot.fi/node/2233,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
5000,727,1067,Seniorit täppää ja läppää nuorten kanssa - vertaisoppimistakirjastossa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Kirjasto Omena,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1027,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan
4000,517,762,Matkoja maailmassa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Entressen kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1004,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan
30000,158,224,Ikä ei ole este ,Palvelujen kehittäminen,Palvelujen kehittäminen,Kanta-Häme,Forssan kaupunginkirjasto,Etelä-Suomi,Forssa,hankkeet.kirjastot.fi/node/1170,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,seutukunnat	,Uudenmaan
0,173,244,Intoa elämään - ikäihmisten kirjastohanke  ,Palvelujen kehittäminen,Palvelujen kehittäminen,Kanta-Häme,Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto,Etelä-Suomi,Hämeenlinna,hankkeet.kirjastot.fi/node/1338,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan
1200,161,227,Ikäihmisten iloksi ja hyödyksi,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Satakunta,Harjavallan kaupunginkirjasto,Lounais-Suomi,Harjavalta,hankkeet.kirjastot.fi/node/373,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Varsinais-Suomen
14000,799,1167,Tietotekniikkaa senioreille,Mediakasvatus,Mediakasvatus,Päijät-Häme,Heinolan kaupunginkirjasto,Etelä-Suomi,Heinola,hankkeet.kirjastot.fi/node/2102,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Etelä-Suomen
7500,782,1146,Tiedon sillat Huittisten alueen kirjastoissa,Mediakasvatus,Mediakasvatus,Satakunta,Huittisten kaupunginkirjasto,Lounais-Suomi,Huittinen,hankkeet.kirjastot.fi/node/517,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Varsinais-Suomen
3500,181,253,Jaetut muistot -projekti,Lukemisen edistäminen,Lukemisen edistäminen,Uusimaa,Hyvinkään kaupunginkirjasto,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/999,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan
3500,163,229,Ikinuorten iltapäivät,Palvelujen kehittäminen,Palvelujen kehittäminen,Uusimaa,Hyvinkään kaupunginkirjasto,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/232,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan ELY-keskus
49000,873,1280,VIRTA - Kirjastosta ja kulttuurista elämyksiä ja elinvoimaa vanhuksille,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/1244,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Savon
27500,413,605,Lainaa ja lue! Kirjastopalvelua ikäihmisten huviksi ja hyödyksi,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Karjala,Juuan kunnankirjasto,Itä-Suomi,Juuka,hankkeet.kirjastot.fi/node/334,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Savon
2000,533,786,Mennyt maailma matkalaukussa,Lukemisen edistäminen,Lukemisen edistäminen,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/1862,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Lounais-Suomen
3000,162,228,Ikäihmisten kulttuurikerhon toiminnan kehittäminen,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/402,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
2000,215,304,Käpylehmästä Iki ihanaan - kirjallisuutta ikäihmisten iloksi,Lukemisen edistäminen,Lukemisen edistäminen,Kainuu,Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto,Pohjois-Suomi,Kajaani,hankkeet.kirjastot.fi/node/1111,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Pohjois-Pohjanmaan
13000,690,1010,Sähköinen ikääntyminen,Verkkopalvelut,Verkkopalvelut,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/1897,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Itä-Suomen
