id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
1,1,Hyvinvointia kirjastosta,Oppimisympäristö ja yhteisöllisyys,Lappi,Enontekiön kunnankirjasto,Lappi,Enontekiö,hankkeet.kirjastot.fi/node/471,2013,"Työikäinen väestö, Ikääntyneet",ELY,suomenkielinen,kunnat,0,1
2,3,Verkkoa ja virikkeitä varttuneille,Mediakasvatus,Varsinais-Suomi,Pöytyän kirjasto,Lounais-Suomi,Pöytyä,hankkeet.kirjastot.fi/node/1169,2013,"Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,kunnat,15000,1
3,5,"”En löydä täältä mitään""",Tilasuunnittelu,Pohjois-Pohjanmaa,Pyhäjoen kunnankirjasto,Pohjois-Suomi,Pyhäjoki,hankkeet.kirjastot.fi/node/415,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1300,1
4,6,Författarbesök litterära program för femteklassisterna i Lukaskommunerna,Lukemisen edistäminen,Uusimaa,Raseborgs stadsbibliotek,Etelä-Suomi,Raasepori,hankkeet.kirjastot.fi/node/1230,2013,Lapset (alle 13 v.),ELY,ruotsinkielinen,seutukunnat	,8000,1
5,7,"”Ihan tyhmii runoi!"" - Nuorten näkökulmia kirjastoon",Palvelujen kehittäminen,Pirkanmaa,Kangasalan kunnankirjasto,Länsi- ja Sisä-Suomi,Kangasala,hankkeet.kirjastot.fi/node/1932,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,10000,1
6,8,"”Jo tokkiisa"" meillä on hiljainen työskentelypiste",Tilasuunnittelu,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/1781,2014,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
7,9,"”Kirjasto on OK!"" Lisää virtaa nuortenkirjastotyöhön",Palvelujen kehittäminen,Keski-Suomi,Saarijärven kaupunginkirjasto,Länsi- ja Sisä-Suomi,Saarijärvi,hankkeet.kirjastot.fi/node/2208,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,4500,1
8,10,"”Minä en käy kirjastossa""",Palvelujen kehittäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/1432,2013,Kirjaston ei-käyttäjät,ELY,suomenkielinen,kunnat,1800,1
9,11,"”Sitähän se kaikki on"" - taiteen ja tiedon ykseyttä kirjastossa",Oppimisympäristö ja yhteisöllisyys,Uusimaa,Keravan kaupunginkirjasto,Etelä-Suomi,Kerava,hankkeet.kirjastot.fi/node/1970,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,15000,1
10,13,150 vuotta kirjastotoimintaa Ruovedellä,Palvelujen kehittäminen,Pirkanmaa,Ruoveden kunnankirjasto,Länsi- ja Sisä-Suomi,Ruovesi,hankkeet.kirjastot.fi/node/1402,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4500,1
11,14,300 vuotta kulttuuria,Oppimisympäristö ja yhteisöllisyys,Pohjois-Karjala,Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto,Itä-Suomi,Joensuu,hankkeet.kirjastot.fi/node/563,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,1900,1
12,15,5K,Lukemisen edistäminen,Keski-Suomi,Kannonkosken kunnankirjasto,Länsi- ja Sisä-Suomi,Kannonkoski,hankkeet.kirjastot.fi/node/839,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,9000,1
13,16,Aakkoset kohtaavat,Lukemisen edistäminen,Pirkanmaa,Valkeakosken kaupunginkirjasto,Länsi- ja Sisä-Suomi,Valkeakoski,hankkeet.kirjastot.fi/node/727,2012,"Lapset (alle 13 v.), Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kunnat,4500,1
14,18,ÄIJÄT KIRJAN KIMPPUUN,Lukemisen edistäminen,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/1406,2013,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
15,19,Äijät lukee : miesten lukupiiri livenä ja somessa,Lukemisen edistäminen,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/1966,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,3000,1
16,20,Aineistot talteen ja käyttöön - digitointipiste Ranuan kirjastolle,Digitointi,Lappi,Ranuan kunnankirjasto,Lappi,Ranua,hankkeet.kirjastot.fi/node/1013,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,11720,1
17,21,AjanKohtaus!,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Helsingin kaupunginkirjasto,Etelä-Suomi,Helsinki,hankkeet.kirjastot.fi/node/738,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,35000,1
18,22,Ajanmukaisten tietokoneiden hankkiminen asiakaskäyttöön,Laitehankinnat,Varsinais-Suomi,Tarvasjoen kirjasto,Lounais-Suomi,Tarvasjoki,hankkeet.kirjastot.fi/node/606,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1000,1
19,23,Ajantasaista tietotekniikkaa ja mobiilia kirjavinkkausta ,Mediakasvatus,Uusimaa,Hyvinkään kaupunginkirjasto ,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/1817,2014,"Kirjaston henkilökunta, Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,1000,1
20,25,Älä jätä kylmäksi - animoi kuvaksi,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Kirjasto Omena,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1115,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
21,26,Alakoululaisten kirjavilmaatti,Mediakasvatus,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/1890,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,4000,1
22,27,äldreomsorg på distans,Palvelujen kehittäminen,Varsinais-Suomi,Pargas stadsbibliotek,Lounais-Suomi,Parainen,hankkeet.kirjastot.fi/node/1190,2013,Ikääntyneet,ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,5500,1
24,29,Aluekirjastoista koko perheen kulttuurikeskuksia,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Oulun kaupunginkirjasto-maakuntakirjasto,Pohjois-Suomi,Oulu,hankkeet.kirjastot.fi/node/1493,2013,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,60000,1
25,31,Aluetietokannat ajan tasalle,Verkkopalvelut,Pohjois-Pohjanmaa,Oulun kaupunginkirjasto-maakuntakirjasto,Pohjois-Suomi,Oulu,hankkeet.kirjastot.fi/node/2066,2014,Kirjaston asiakkaat,ELY,suomenkielinen,valtakunnallinen	,37000,1
